GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-course,com.example.demo.controllers,OrderController,38,3,4,0,10,1,4,1,2,1
auth-course,com.example.demo.controllers,UserController,78,3,8,0,15,1,7,1,3,1
auth-course,com.example.demo.controllers,ItemController,27,3,4,0,5,1,5,1,3,1
auth-course,com.example.demo.controllers,CartController,102,3,8,0,22,1,8,1,4,1
auth-course,com.example.demo.security,WebSecurityConfiguration,0,58,0,0,0,14,0,4,0,4
auth-course,com.example.demo.security,JWTAuthenticationVerificationFilter,60,4,8,0,17,2,6,1,2,1
auth-course,com.example.demo.security,UserDetailsServiceImpl,21,3,2,0,4,1,2,1,1,1
auth-course,com.example.demo.security,SecurityConstants,3,0,0,0,1,0,1,0,1,0
auth-course,com.example.demo.security,JWTAuthenticationFilter,59,6,0,0,13,3,2,1,2,1
auth-course,com.example.demo.model.requests,CreateUserRequest,24,0,0,0,10,0,7,0,7,0
auth-course,com.example.demo.model.requests,ModifyCartRequest,24,0,0,0,10,0,7,0,7,0
auth-course,com.example.demo,SareetaApplication,5,7,0,0,2,2,1,2,1,2
auth-course,com.example.demo.model.persistence,User,28,3,0,0,12,1,8,1,8,1
auth-course,com.example.demo.model.persistence,Item,84,3,14,0,29,1,17,1,10,1
auth-course,com.example.demo.model.persistence,UserOrder,50,3,0,0,17,1,9,1,9,1
auth-course,com.example.demo.model.persistence,Cart,88,3,8,0,26,1,14,1,10,1
